"","Date","Crimes","DATETIME"
"1","2011-01",49,2011-01-01
"2","2011-02",31,2011-02-01
"3","2011-03",53,2011-03-01
"4","2011-04",46,2011-04-01
"5","2011-05",59,2011-05-01
"6","2011-06",51,2011-06-01
"7","2011-07",45,2011-07-01
"8","2011-08",67,2011-08-01
"9","2011-09",36,2011-09-01
"10","2011-10",41,2011-10-01
"11","2011-11",36,2011-11-01
"12","2011-12",35,2011-12-01
"13","2012-01",33,2012-01-01
"14","2012-02",37,2012-02-01
"15","2012-03",71,2012-03-01
"16","2012-04",65,2012-04-01
"17","2012-05",55,2012-05-01
"18","2012-06",43,2012-06-01
"19","2012-07",65,2012-07-01
"20","2012-08",91,2012-08-01
"21","2012-09",51,2012-09-01
"22","2012-10",56,2012-10-01
"23","2012-11",44,2012-11-01
"24","2012-12",45,2012-12-01
"25","2013-01",40,2013-01-01
"26","2013-02",41,2013-02-01
"27","2013-03",52,2013-03-01
"28","2013-04",53,2013-04-01
"29","2013-05",31,2013-05-01
"30","2013-06",34,2013-06-01
"31","2013-07",45,2013-07-01
"32","2013-08",94,2013-08-01
"33","2013-09",53,2013-09-01
"34","2013-10",35,2013-10-01
"35","2013-11",38,2013-11-01
"36","2013-12",44,2013-12-01
"37","2014-01",42,2014-01-01
"38","2014-02",33,2014-02-01
"39","2014-03",35,2014-03-01
"40","2014-04",36,2014-04-01
"41","2014-05",36,2014-05-01
"42","2014-06",35,2014-06-01
"43","2014-07",32,2014-07-01
"44","2014-08",79,2014-08-01
"45","2014-09",28,2014-09-01
"46","2014-10",34,2014-10-01
"47","2014-11",35,2014-11-01
"48","2014-12",33,2014-12-01
"49","2015-01",44,2015-01-01
"50","2015-02",20,2015-02-01
"51","2015-03",23,2015-03-01
"52","2015-04",38,2015-04-01
"53","2015-05",37,2015-05-01
"54","2015-06",24,2015-06-01
"55","2015-07",31,2015-07-01
"56","2015-08",42,2015-08-01
"57","2015-09",47,2015-09-01
"58","2015-10",37,2015-10-01
"59","2015-11",34,2015-11-01
"60","2015-12",33,2015-12-01
